"Name","Album","Artist"
"Adventure of a Lifetime,A Head Full of Dreams,Coldplay","",""
"Something Just Like This,Something Just Like This,The Chainsmokers & Coldplay","",""
"Higher Power,Higher Power (Single),Coldplay","",""
"My Universe,My Universe (Single),Coldplay & BTS","",""
"Dynamite,Dynamite (DayTime Version),BTS","",""
"Butter,Butter / Permission to Dance,BTS","",""
"Permission to Dance,Butter / Permission to Dance,BTS","",""
"Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,BTS","",""
"Shut Up and Dance,TALKING IS HARD,WALK THE MOON","",""
"Anna Sun,Walk The Moon,WALK THE MOON","",""
"One Foot,What If Nothing,WALK THE MOON","",""
"Cake By The Ocean,DNCE,DNCE","",""
"Counting Stars,Native,OneRepublic","",""
"Good Life,Waking Up,OneRepublic","",""
"I Ain't Worried,Top Gun: Maverick (Music From The Motion Picture),OneRepublic","",""
"Get Lucky (feat. Pharrell Williams),Random Access Memories,Daft Punk","",""
"One More Time,Discovery,Daft Punk","",""
"Digital Love,Discovery,Daft Punk","",""
"Harder, Better, Faster, Stronger,Discovery,Daft Punk","",""
"Valerie (feat. Amy Winehouse),Version,Mark Ronson","",""
"I Wanna Dance with Somebody (Who Loves Me),Whitney,Whitney Houston","",""
"How Will I Know,Whitney Houston,Whitney Houston","",""
"Girls Just Want to Have Fun,She's So Unusual,Cyndi Lauper","",""
"Walking On Sunshine,Walking On Sunshine,Katrina & The Waves","",""
"Don't Stop Believin',Escape,Journey","",""
"Mr. Brightside,Hot Fuss,The Killers","",""
"Somebody Told Me,Hot Fuss,The Killers","",""
"I Got You (I Feel Good),I Got You (I Feel Good),James Brown","",""
"Hey Ya!,Speakerboxxx/The Love Below,OutKast","",""
"Single Ladies (Put a Ring on It),I AM...SASHA FIERCE,Beyoncé","",""
"Crazy In Love (feat. Jay-Z),Dangerously in Love,Beyoncé","",""
"Love On Top,4,Beyoncé","",""
"September,The Best of Earth, Wind & Fire, Vol. 1,Earth, Wind & Fire","",""
"Let's Groove,Raise!,Earth, Wind & Fire","",""
"Don't Stop 'Til You Get Enough,Off the Wall,Michael Jackson","",""
"Billie Jean,Thriller,Michael Jackson","",""
"The Way You Make Me Feel,Bad,Michael Jackson","",""
"Black or White,Dangerous,Michael Jackson","",""
"Party In The U.S.A.,The Time of Our Lives,Miley Cyrus","",""
"What Makes You Beautiful,Up All Night,One Direction","",""
"Live While We're Young,Take Me Home,One Direction","",""
"Best Song Ever,Midnight Memories,One Direction","",""
"Steal My Girl,FOUR,One Direction","",""
"Drag Me Down,Made in the A.M.,One Direction","",""
"Call Me Maybe,Kiss,Carly Rae Jepsen","",""
"Good Time,The Midsummer Station,Owl City & Carly Rae Jepsen","",""
"Fireflies,Ocean Eyes,Owl City","",""
"Dog Days Are Over,Lungs,Florence + The Machine","",""
"Pompeii,Bad Blood,Bastille","",""
"Good Grief,Wild World,Bastille","",""
"There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes","",""
"Treat You Better,Illuminate (Deluxe),Shawn Mendes","",""
"Stitches,Handwritten,Shawn Mendes","",""
"Attention,Voicenotes,Charlie Puth","",""
"We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth","",""
"See You Again (feat. Charlie Puth),Furious 7 (Original Motion Picture Soundtrack),Wiz Khalifa","",""
"This Is Me,The Greatest Showman (Original Motion Picture Soundtrack),Keala Settle & The Greatest Showman Ensemble","",""
"The Greatest Show,The Greatest Showman (Original Motion Picture Soundtrack),Hugh Jackman & The Greatest Showman Ensemble","",""
"Come Alive,The Greatest Showman (Original Motion Picture Soundtrack),Hugh Jackman & The Greatest Showman Ensemble","",""
"Rewrite The Stars,The Greatest Showman (Original Motion Picture Soundtrack),Zac Efron & Zendaya","",""
"Mamma Mia,Mamma Mia,ABBA","",""
"Dancing Queen,Arrival,ABBA","",""
"Gimme! Gimme! Gimme! (A Man After Midnight),Greatest Hits Vol. 2,ABBA","",""
"Take on Me,Hunting High and Low,a-ha","",""
"Africa,Toto IV,Toto","",""
"Everybody (Backstreet's Back),Backstreet's Back,Backstreet Boys","",""
"I Want It That Way,Millennium,Backstreet Boys","",""
"Larger Than Life,Millennium,Backstreet Boys","",""
"Bye Bye Bye,...Baby One More Time,Britney Spears","",""
"Oops!... I Did It Again,Oops!... I Did It Again,Britney Spears","",""
"Toxic,In The Zone,Britney Spears","",""
"Wannabe,Spice,Spice Girls","",""
"Livin' la Vida Loca,Ricky Martin,Ricky Martin","",""
"Hips Don't Lie (feat. Wyclef Jean),Oral Fixation, Vol. 2,Shakira","",""
"Waka Waka (This Time for Africa),Sale el Sol,Shakira","",""
"It's My Life,Crush,Bon Jovi","",""
"Livin' On A Prayer,Slippery When Wet,Bon Jovi","",""
"You Give Love A Bad Name,Slippery When Wet,Bon Jovi","",""
"Summer Of '69,Reckless,Bryan Adams","",""
"I'm a Believer,I'm a Believer,The Monkees","",""
"Build Me Up Buttercup,Build Me Up Buttercup,The Foundations","",""
"My Girl,The Temptations Sing Smokey,The Temptations","",""
"Ain't No Mountain High Enough,Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell","",""
"Signed, Sealed, Delivered I'm Yours,Signed, Sealed & Delivered,Stevie Wonder","",""
"Superstition,Talking Book,Stevie Wonder","",""
"ABC,ABC,The Jackson 5","",""
"I Want You Back,Diana Ross Presents The Jackson 5,The Jackson 5","",""
"Celebration,Celebrate!,Kool & The Gang","",""
"Get Down On It,Something Special,Kool & The Gang","",""
"Stayin' Alive,Saturday Night Fever,Bee Gees","",""
"You Should Be Dancing,Children of the World,Bee Gees","",""
"Footloose,Footloose (Original Motion Picture Soundtrack),Kenny Loggins","",""
"You Make My Dreams (Come True),Voices,Daryl Hall & John Oates","",""
"Take Me Home, Country Roads,Poems, Prayers & Promises,John Denver","",""
"Sweet Caroline,Brother Love's Travelling Salvation Show,Neil Diamond","",""
"Brown Eyed Girl,Blowin' Your Mind!,Van Morrison","",""
"Twist And Shout,Please Please Me,The Beatles","",""
"Here Comes The Sun,Abbey Road,The Beatles","",""
"I Saw Her Standing There,Please Please Me,The Beatles","",""
"Love Me Do,Please Please Me,The Beatles","",""
"Good Vibrations,Smiley Smile,The Beach Boys","",""
"Surfin' U.S.A.,Surfin' U.S.A.,The Beach Boys","",""
"Wouldn't It Be Nice,Pet Sounds,The Beach Boys","",""
"American Girl,Tom Petty and the Heartbreakers,Tom Petty and the Heartbreakers","",""
"Free Fallin',Full Moon Fever,Tom Petty","",""
"Take It Easy,Eagles,Eagles","",""
"Hotel California,Hotel California,Eagles (upbeat feel)","",""
"Go Your Own Way,Rumours,Fleetwood Mac","",""
"Don't Stop,Rumours,Fleetwood Mac","",""
"Hooked on a Feeling,Hooked on a Feeling,Blue Swede","",""
"Come and Get Your Love,Awesome Mix Vol. 1,Redbone","",""
"Mr. Blue Sky,Out of the Blue,Electric Light Orchestra","",""
"Tongue Tied,Never Trust a Happy Song,Grouplove","",""
"Safe And Sound,In a Tidal Wave of Mystery,Capital Cities","",""
"Ho Hey,The Lumineers,The Lumineers","",""
"Home,Up from Below,Edward Sharpe & The Magnetic Zeros","",""
"1901,Wolfgang Amadeus Phoenix,Phoenix","",""
"Lisztomania,Wolfgang Amadeus Phoenix,Phoenix","",""
"Pumped Up Kicks,Torches,Foster The People","",""
"Sit Next to Me,Sacred Hearts Club,Foster The People","",""
"Feel It Still,Woodstock,Portugal. The Man","",""
"Kids,Oracular Spectacular,MGMT","",""
"Electric Feel,Oracular Spectacular,MGMT","",""
"Time to Pretend,Oracular Spectacular,MGMT","",""
"Riptide,Dream Your Life Away,Vance Joy","",""
"Budapest,Wanted on Voyage,George Ezra","",""
"Shotgun,Staying at Tamara's,George Ezra","",""
"New Soul,New Soul,Yael Naim","",""
"Chandelier,1000 Forms of Fear,Sia","",""
"Cheap Thrills (feat. Sean Paul),This Is Acting,Sia","",""
"The Greatest,This Is Acting,Sia","",""
"Unstoppable,This Is Acting,Sia","",""
"Sucker,Happiness Begins,Jonas Brothers","",""
"Burnin' Up,A Little Bit Longer,Jonas Brothers","",""
"Year 3000,It's About Time,Jonas Brothers","",""
"Let's Go Crazy,Purple Rain,Prince","",""
